Shooter,Call of Duty: Ghosts,PS3,Typically violent games where players use ranged weapons
Shooter,Call of Duty 4: Modern Warfare,X360,Typically violent games where players use ranged weapons
Simulation,Animal Crossing: New Leaf,3DS,Frequently consists of games focused on letting the player simulate a reality - real or fake
Misc,Mario Party DS,DS,Games without specific genres
Role-Playing,The Elder Scrolls V: Skyrim,X360,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Sports,FIFA 16,PS4,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Halo 2,XB,Typically violent games where players use ranged weapons
Misc,Wii Party,Wii,Games without specific genres
Misc,Mario Party 8,Wii,Games without specific genres
Action,FIFA Soccer 13,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Final Fantasy X,PS2,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Simulation,The Sims 3,PC,Frequently consists of games focused on letting the player simulate a reality - real or fake
Role-Playing,Final Fantasy VIII,PS,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Role-Playing,Pokémon Platinum Version,DS,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,Grand Theft Auto: Liberty City Stories,PSP,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Call of Duty: Advanced Warfare,PS4,Typically violent games where players use ranged weapons
Sports,FIFA 17,PS4,Generally allows the player to partake in a competitive sport against other opponents or AI
Platform,Super Mario Galaxy 2,Wii,Games focused on navigating an environment usually by jumping
Shooter,Call of Duty: World at War,X360,Typically violent games where players use ranged weapons
Shooter,Battlefield 3,X360,Typically violent games where players use ranged weapons
Racing,Need for Speed Underground,PS2,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Misc,Just Dance,Wii,Games without specific genres
Shooter,Battlefield 3,PS3,Typically violent games where players use ranged weapons
Role-Playing,Fallout 4,PS4,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Fighting,Tekken 3,PS,Usually one-on-one close-ranged games with violent attacks
Action,The Legend of Zelda: Twilight Princess,Wii,Games usually centered around using hand-eye coordination to overcome physical challenges
Platform,Crash Bandicoot 3: Warped,PS,Games focused on navigating an environment usually by jumping
Racing,Mario Kart 8,WiiU,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Fighting,Super Smash Bros. Melee,GC,Usually one-on-one close-ranged games with violent attacks
Racing,Need for Speed Underground 2,PS2,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Shooter,Medal of Honor: Frontline,PS2,Typically violent games where players use ranged weapons
Misc,Just Dance 4,Wii,Games without specific genres
Shooter,Gears of War 2,X360,Typically violent games where players use ranged weapons
Action,Uncharted 3: Drake's Deception,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,Zumba Fitness,Wii,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Call of Duty 4: Modern Warfare,PS3,Typically violent games where players use ranged weapons
Action,Uncharted 2: Among Thieves,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Misc,Big Brain Academy,DS,Games without specific genres
Action,Red Dead Redemption,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,FIFA 14,PS3,Generally allows the player to partake in a competitive sport against other opponents or AI
Action,Assassin's Creed III,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Platform,Donkey Kong Country Returns,Wii,Games focused on navigating an environment usually by jumping
Shooter,Halo: Combat Evolved,XB,Typically violent games where players use ranged weapons
Role-Playing,The Elder Scrolls V: Skyrim,PS3,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Role-Playing,Pokémon Emerald Version,GBA,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Role-Playing,Kingdom Hearts,PS2,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Shooter,Halo 3: ODST,X360,Typically violent games where players use ranged weapons
Action,Red Dead Redemption,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Platform,Super Mario Sunshine,GC,Games focused on navigating an environment usually by jumping
Role-Playing,World of Warcraft,PC,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,Driver,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Gears of War 3,X360,Typically violent games where players use ranged weapons
Sports,Kinect Sports,X360,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Gears of War,X360,Typically violent games where players use ranged weapons
Sports,FIFA 15,PS4,Generally allows the player to partake in a competitive sport against other opponents or AI
Action,Metal Gear Solid 2: Sons of Liberty,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Metal Gear Solid,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Metal Gear Solid 4: Guns of the Patriots,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Final Fantasy XII,PS2,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,The Last of Us,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Platform,LittleBigPlanet,PS3,Games focused on navigating an environment usually by jumping
Action,Resident Evil 2,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Dragon Quest IX: Sentinels of the Starry Skies,DS,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Fighting,Tekken 2,PS,Usually one-on-one close-ranged games with violent attacks
Shooter,Destiny,PS4,Typically violent games where players use ranged weapons
Action,LEGO Star Wars: The Complete Saga,Wii,Games usually centered around using hand-eye coordination to overcome physical challenges
Simulation,Cooking Mama,DS,Frequently consists of games focused on letting the player simulate a reality - real or fake
Action,Assassin's Creed II,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Adventure,Assassin's Creed,X360,Mostly exploration games focused on letting the player explore the environment
Racing,Forza Motorsport 3,X360,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Platform,Super Mario Advance,GBA,Games focused on navigating an environment usually by jumping
Role-Playing,Monster Hunter Freedom Unite,PSP,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,Batman: Arkham City,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Grand Theft Auto V,XOne,Games usually centered around using hand-eye coordination to overcome physical challenges
Racing,Mario Kart: Super Circuit,GBA,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Platform,Crash Bandicoot: The Wrath of Cortex,PS2,Games focused on navigating an environment usually by jumping
Shooter,Call of Duty: World at War,PS3,Typically violent games where players use ranged weapons
Shooter,Uncharted 4: A Thief's End,PS4,Typically violent games where players use ranged weapons
Role-Playing,Final Fantasy XIII,PS3,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Role-Playing,Final Fantasy IX,PS,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,Assassin's Creed III,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Final Fantasy X-2,PS2,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Shooter,Call of Duty: Advanced Warfare,XOne,Typically violent games where players use ranged weapons
Action,Assassin's Creed II,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Tomb Raider II,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,Madden NFL 2004,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Platform,New Super Mario Bros. U,WiiU,Games focused on navigating an environment usually by jumping
Role-Playing,Dragon Quest VIII: Journey of the Cursed King,PS2,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Puzzle,Professor Layton and the Curious Village,DS,Games that challenge the player to use critical thinking skills to solve problems
Action,FIFA Soccer 13,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Diablo III,PC,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Shooter,Medal of Honor: Rising Sun,PS2,Typically violent games where players use ranged weapons
Misc,Guitar Hero II,PS2,Games without specific genres
Role-Playing,Fable III,X360,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,Resident Evil 5,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,The Legend of Zelda: Phantom Hourglass,DS,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,FIFA Soccer 11,PS3,Generally allows the player to partake in a competitive sport against other opponents or AI
Action,Resident Evil,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Grand Theft Auto: Vice City Stories,PSP,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,Tony Hawk's Pro Skater,PS,Generally allows the player to partake in a competitive sport against other opponents or AI
Misc,Guitar Hero III: Legends of Rock,PS2,Games without specific genres
Shooter,Link's Crossbow Training,Wii,Typically violent games where players use ranged weapons
Role-Playing,Fallout 3,X360,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,Uncharted: Drake's Fortune,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,Madden NFL 06,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Strategy,StarCraft II: Wings of Liberty,PC,Most games challenge the player to use tactics and planning to achieve victory
Adventure,Assassin's Creed,PS3,Mostly exploration games focused on letting the player explore the environment
Action,God of War III,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Racing,Crash Team Racing,PS,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Action,LEGO Star Wars: The Complete Saga,DS,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Driver 2,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Batman: Arkham City,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,Tony Hawk's Pro Skater 2,PS,Generally allows the player to partake in a competitive sport against other opponents or AI
Action,The Lord of the Rings: The Two Towers,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Tomb Raider,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Simulation,Animal Crossing: City Folk,Wii,Frequently consists of games focused on letting the player simulate a reality - real or fake
Action,Uncharted: The Nathan Drake Collection,PS4,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,The Legend of Zelda: The Wind Waker,GC,Games usually centered around using hand-eye coordination to overcome physical challenges
Misc,Guitar Hero III: Legends of Rock,Wii,Games without specific genres
Action,Luigi's Mansion: Dark Moon,3DS,Games usually centered around using hand-eye coordination to overcome physical challenges
Racing,Forza Motorsport 4,X360,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Sports,Madden NFL 2005,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Misc,Guitar Hero III: Legends of Rock,X360,Games without specific genres
Sports,Madden NFL 07,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Halo 5: Guardians,XOne,Typically violent games where players use ranged weapons
Action,Spider-Man: The Movie,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Call of Duty: Infinite Warfare,PS4,Typically violent games where players use ranged weapons
Action,God of War,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Splatoon,WiiU,Typically violent games where players use ranged weapons
Misc,Nintendo Land,WiiU,Games without specific genres
Sports,Tony Hawk's Pro Skater 3,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Sports,Winning Eleven: Pro Evolution Soccer 2007,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Role-Playing,The Elder Scrolls IV: Oblivion,X360,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Racing,Need for Speed: Most Wanted,PS2,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Misc,Michael Jackson: The Experience,Wii,Games without specific genres
Shooter,Call of Duty: Advanced Warfare,PS3,Typically violent games where players use ranged weapons
Shooter,Resistance: Fall of Man,PS3,Typically violent games where players use ranged weapons
Role-Playing,Kingdom Hearts II,PS2,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Platform,Super Mario 3D World,WiiU,Games focused on navigating an environment usually by jumping
Shooter,Call of Duty: Advanced Warfare,X360,Typically violent games where players use ranged weapons
Sports,FIFA 15,PS3,Generally allows the player to partake in a competitive sport against other opponents or AI
Role-Playing,Fable II,X360,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Misc,Namco Museum,GBA,Games without specific genres
Action,Batman: Arkham Asylum,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Metal Gear Solid 3: Snake Eater,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Assassin's Creed: Revelations,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Fallout 4,XOne,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Sports,FIFA 14,X360,Generally allows the player to partake in a competitive sport against other opponents or AI
Platform,Daxter,PSP,Games focused on navigating an environment usually by jumping
Sports,FIFA Soccer 06,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Misc,EyeToy Play,PS2,Games without specific genres
Racing,Gran Turismo 5 Prologue,PS3,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Action,Assassin's Creed: Revelations,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Fighting,Street Fighter IV,PS3,Usually one-on-one close-ranged games with violent attacks
Sports,Madden NFL 2003,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Half-Life,PC,Typically violent games where players use ranged weapons
Role-Playing,World of Warcraft: The Burning Crusade,PC,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Shooter,Battlefield 1,PS4,Typically violent games where players use ranged weapons
Action,God of War II,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,World Soccer Winning Eleven 9,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Role-Playing,Fallout: New Vegas,X360,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Racing,Forza Motorsport 2,X360,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Misc,Carnival Games,Wii,Games without specific genres
Action,Watch Dogs,PS4,Games usually centered around using hand-eye coordination to overcome physical challenges
Fighting,Tekken Tag Tournament,PS2,Usually one-on-one close-ranged games with violent attacks
Shooter,Far Cry 4,PS4,Typically violent games where players use ranged weapons
Misc,Namco Museum: 50th Anniversary,PS2,Games without specific genres
Shooter,Left 4 Dead 2,X360,Typically violent games where players use ranged weapons
Role-Playing,The Witcher 3: Wild Hunt,PS4,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,Assassin's Creed: Unity,PS4,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Batman: Arkham Knight,PS4,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,The Legend of Zelda: Skyward Sword,Wii,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Fallout 3,PS3,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Puzzle,Professor Layton and the Diabolical Box,DS,Games that challenge the player to use critical thinking skills to solve problems
Sports,EA Sports Active,Wii,Generally allows the player to partake in a competitive sport against other opponents or AI
Sports,Tony Hawk's Underground,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Role-Playing,Monster Hunter 4 Ultimate,3DS,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Role-Playing,The Elder Scrolls V: Skyrim,PC,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Sports,NBA 2K16,PS4,Generally allows the player to partake in a competitive sport against other opponents or AI
Fighting,Tekken 5,PS2,Usually one-on-one close-ranged games with violent attacks
Racing,MotorStorm,PS3,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Sports,World Soccer Winning Eleven 8 International,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Sports,Sports Champions,PS3,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Call of Duty: Ghosts,PS4,Typically violent games where players use ranged weapons
Misc,Flash Focus: Vision Training in Minutes a Day,DS,Games without specific genres
Shooter,Tom Clancy's The Division,PS4,Typically violent games where players use ranged weapons
Misc,Big Brain Academy: Wii Degree,Wii,Games without specific genres
Action,LEGO Indiana Jones: The Original Adventures,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Simulation,The Sims: Unleashed,PC,Frequently consists of games focused on letting the player simulate a reality - real or fake
Action,Harry Potter and the Sorcerer's Stone,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Platform,Super Paper Mario,Wii,Games focused on navigating an environment usually by jumping
Platform,Spyro: Year of the Dragon,PS,Games focused on navigating an environment usually by jumping
Action,Assassin's Creed IV: Black Flag,PS3,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,FIFA Soccer 2005,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Sports,Tony Hawk's Pro Skater 4,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Simulation,MySims,DS,Frequently consists of games focused on letting the player simulate a reality - real or fake
Racing,Midnight Club 3: DUB Edition,PSP,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Shooter,SOCOM: U.S. Navy SEALs,PS2,Typically violent games where players use ranged weapons
Platform,Jak and Daxter: The Precursor Legacy,PS2,Games focused on navigating an environment usually by jumping
Sports,Pro Evolution Soccer 2008,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Action,Resident Evil 4,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Misc,Guitar Hero: World Tour,Wii,Games without specific genres
Sports,FIFA Soccer 10,PS3,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Star Wars: Battlefront,PS2,Typically violent games where players use ranged weapons
Racing,The Simpsons: Road Rage,PS2,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Action,Luigi's Mansion,GC,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Battlefield 4,PS4,Typically violent games where players use ranged weapons
Shooter,Star Wars: Battlefront II,PS2,Typically violent games where players use ranged weapons
Misc,Just Dance 2014,Wii,Games without specific genres
Simulation,Cooking Mama 2: Dinner With Friends,DS,Frequently consists of games focused on letting the player simulate a reality - real or fake
Action,Grand Theft Auto: Liberty City Stories,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,The Getaway,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,James Bond 007: Agent Under Fire,PS2,Typically violent games where players use ranged weapons
Sports,FIFA Soccer 11,X360,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Left 4 Dead,X360,Typically violent games where players use ranged weapons
Action,Assassin's Creed: Unity,XOne,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Resident Evil 5,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Assassin's Creed: Brotherhood,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,FIFA Soccer 2004,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Shooter,Battlefield 4,PS3,Typically violent games where players use ranged weapons
Action,Batman: Arkham Asylum,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Battlefield 4,X360,Typically violent games where players use ranged weapons
Shooter,Battlefield: Bad Company 2,X360,Typically violent games where players use ranged weapons
Misc,Guitar Hero: On Tour,DS,Games without specific genres
Misc,Clubhouse Games,DS,Games without specific genres
Shooter,Borderlands,X360,Typically violent games where players use ranged weapons
Fighting,Tekken 4,PS2,Usually one-on-one close-ranged games with violent attacks
Action,Grand Theft Auto 2,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Metal Gear Solid V: The Phantom Pain,PS4,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Spider-Man 2,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,FIFA Soccer 2003,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Platform,LittleBigPlanet 2,PS3,Games focused on navigating an environment usually by jumping
Misc,Crash Bash,PS,Games without specific genres
Action,Assassin's Creed Syndicate,PS4,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,LEGO Batman: The Videogame,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Destiny,XOne,Typically violent games where players use ranged weapons
Shooter,Far Cry 3,PS3,Typically violent games where players use ranged weapons
Shooter,James Bond 007: Nightfire,PS2,Typically violent games where players use ranged weapons
Action,Star Wars Episode III: Revenge of the Sith,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,The Legend of Zelda: Spirit Tracks,DS,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Max Payne,PS2,Typically violent games where players use ranged weapons
Action,Assassin's Creed IV: Black Flag,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,The Lord of the Rings: The Return of the King,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Gears of War: Ultimate Edition,XOne,Typically violent games where players use ranged weapons
Action,True Crime: Streets of LA,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Puzzle,Professor Layton and the Unwound Future,DS,Games that challenge the player to use critical thinking skills to solve problems
Sports,FIFA 16,XOne,Generally allows the player to partake in a competitive sport against other opponents or AI
Misc,Wii Music,Wii,Games without specific genres
Sports,Madden NFL 16,PS4,Generally allows the player to partake in a competitive sport against other opponents or AI
Racing,Gran Turismo 6,PS3,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Shooter,Halo: The Master Chief Collection,XOne,Typically violent games where players use ranged weapons
Platform,Super Mario Maker,WiiU,Games focused on navigating an environment usually by jumping
Action,God of War: Chains of Olympus,PSP,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Enter the Matrix,PS2,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Crisis Core: Final Fantasy VII,PSP,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Misc,Dance Central,X360,Games without specific genres
Adventure,L.A. Noire,PS3,Mostly exploration games focused on letting the player explore the environment
Simulation,Ace Combat 04: Shattered Skies,PS2,Frequently consists of games focused on letting the player simulate a reality - real or fake
Simulation,Animal Crossing,GC,Frequently consists of games focused on letting the player simulate a reality - real or fake
Sports,FIFA Soccer 08,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Adventure,Club Penguin: Elite Penguin Force,DS,Mostly exploration games focused on letting the player explore the environment
Action,Spider-Man,PS,Games usually centered around using hand-eye coordination to overcome physical challenges
Misc,Mario Party 9,Wii,Games without specific genres
Racing,Need for Speed III: Hot Pursuit,PS,Games that often place the player behind the wheel of a vehicle to let them race against others or time
Platform,Sonic Rush,DS,Games focused on navigating an environment usually by jumping
Misc,Rhythm Heaven,DS,Games without specific genres
Role-Playing,Fallout: New Vegas,PS3,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Misc,Personal Trainer: Cooking,DS,Games without specific genres
Role-Playing,The Elder Scrolls IV: Oblivion,PS3,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Action,The Legend of Zelda: A Link Between Worlds,3DS,Games usually centered around using hand-eye coordination to overcome physical challenges
Shooter,Resident Evil 6,PS3,Typically violent games where players use ranged weapons
Role-Playing,Mass Effect 2,X360,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Fighting,Dragon Ball Z: Budokai,PS2,Usually one-on-one close-ranged games with violent attacks
Sports,Madden NFL 2002,PS2,Generally allows the player to partake in a competitive sport against other opponents or AI
Simulation,The Sims: Vacation,PC,Frequently consists of games focused on letting the player simulate a reality - real or fake
Action,LEGO Batman: The Videogame,Wii,Games usually centered around using hand-eye coordination to overcome physical challenges
Simulation,Animal Crossing: Happy Home Designer,3DS,Frequently consists of games focused on letting the player simulate a reality - real or fake
Simulation,The Sims 4,PC,Frequently consists of games focused on letting the player simulate a reality - real or fake
Shooter,Borderlands 2,X360,Typically violent games where players use ranged weapons
Action,LEGO Batman: The Videogame,DS,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Kung Fu Panda,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Role-Playing,Mass Effect 3,X360,Games where the player typically assumes the role of a character who grows throughout the story to overcome an adversity
Adventure,Heavy Rain,PS3,Mostly exploration games focused on letting the player explore the environment
Action,Saints Row 2,X360,Games usually centered around using hand-eye coordination to overcome physical challenges
Action,Tom Clancy's Splinter Cell,XB,Games usually centered around using hand-eye coordination to overcome physical challenges
Sports,FIFA 14,PS4,Generally allows the player to partake in a competitive sport against other opponents or AI
